Japanese,English
基本プラン,Basic Plan
"1人申込あたり14,500円(税別)","14,500 yen per application (excluding tax)"
・ 都度開催、都度申込,"・ Held as needed, apply as needed"
・ 集客数による成果報酬型課金,・ Performance-based billing according to number of attendees
・ 20人以上からの申込,・ Applications from 20 or more people
　（請求は集客人数分のみ）, (Billing is only for the number of attendees)
※集客人数を正確に把握するため、弊社にてお申込みページを準備し、リストを貴社にご提供いたします。,"※To accurately track the number of attendees, we will prepare the application page and provide the list to your company."
※実際のご請求は、申込者数に対して上記最大人数までの成果報酬でご請求させていただきます。定員に達した場合、申込受付をストップ致します。,"※The actual billing will be based on the number of applicants, up to the maximum number above. If capacity is reached, we will stop accepting applications."
※リストの納品は個人情報保護の観点から、セミナー主催者様に直接納品させていただきます。,"※For privacy protection, the list will be delivered directly to the seminar organizer."
※セミナーの参加者だけではなく、欠席者（事前キャンセル、当日キャンセル）についても、ご請求対象となります。,※Billing will include not only participants but also absentees (cancellations before and on the day).
※なるべく上限近く集客できるよう努力いたしますが、集客数を保証するものではありません。,"※We will strive to attract as many attendees as possible, but attendance numbers are not guaranteed."
※セミナーのテーマや同時開催の他のイベントなどの影響により、全く集客できないケースもございます。,※There may be cases where no attendees are attracted due to the seminar theme or other concurrent events.
単発でウェビナーを開催いただける完全成果報酬型のプランです。,This is a fully performance-based plan for holding a one-time webinar.
どこまでお任せいただくか4つのタイプからお選びいただけます。,You can choose from four types depending on how much you want to delegate.
20名からのお申し込みで承ります。,We accept applications starting from 20 people.
申込が10人しかなかった場合は、10人分のみのご請求となります。,"If there are only 10 applicants, you will be billed for 10 people only."
商品名,Product name
内容,Content
数量,Quantity
単価（￥）,Unit price (¥)
金額（￥）,Amount (¥)
マジセミビジター,Majisemi Visitor
（20名））,(20 people)
ウェビナーの,Webinar
企画・集客・運営,"Planning, attracting attendees, and operation"
ビジタープラン,Visitor Plan
20名での参考プラン,Reference plan for 20 people
小計,Subtotal
消費税（１０％）,Consumption tax (10%)
合計（税込）,Total (including tax)
プラン詳細,Plan details
参考プラン,Reference plan
メニュー,Menu
企画,Planning
集客,Attracting attendees
LP設置,LP setup
司会,Moderator
他メディア,Other media
取込,Integration
URL送付,URL delivery
リマインド,Reminder
提供,Provision
事後,Post-event
アンケート,Survey
マジセミ,Majisemi
ビジター,Visitor
標準,Standard
他メディア掲載NG,No other media posting
企画・集客,Planning and attracting attendees
－,-
集客・運営,Attracting attendees and operation
集客のみ,Attracting attendees only
運営,Operation
