Japanese,English
おすすめ,Recommended
ライト,Light
シルバー,Silver
ゴールド,Gold
プラチナ,Platinum
プレミアム,Premium
付属サ|ビス,Included services
ウェビナー開催,Webinar hosting
SEO記事作成,SEO article creation
マジフォロ,Majifollow
マジフォロプラス,Majifollow Plus
サマリ動画,Summary video
　 ●※1, ●※1
追加集客枠プレゼント,Additional audience slots gift
（特典）※４,(Bonus)※4
毎年10人分,10 people annually
10万円相当,"Equivalent to 100,000 JPY"
毎年20人分,20 people annually
20万円相当,"Equivalent to 200,000 JPY"
毎年40人分,40 people annually
40万円相当,"Equivalent to 400,000 JPY"
毎年80人分,80 people annually
80万円相当,"Equivalent to 800,000 JPY"
月会費,Monthly fee
12万円,"120,000 yen"
13.5万円,"135,000 JPY"
15.5万円,"155,000 JPY"
25.5万円,"255,000 JPY"
38.5万円,"385,000 JPY"
※１　SEO記事作成、サマリ動画作成は、年4回まで実施可能です。また、別途オプションとして購入いただくことでそれ以上も実施可能です。,※1 SEO article creation and summary video creation can be conducted up to 4 times a year. Additional options can be purchased for more.
※２　マジフォロは年120人分まで実施可能です。また、別途オプションとして購入いただくことでそれ以上も実施可能です。,※2 Majifollow can be conducted for up to 120 people annually. Additional options can be purchased for more.
※３　マジフォロプラスの毎月の活動費用を含んでいます。アポ獲得時の成果報酬（1アポ3万円）が別途かかります。,"※3 Includes monthly activity costs for Majifollow Plus. A success fee of 30,000 JPY per appointment is charged separately."
※４　追加集客枠プレゼント特典は、マジセミ倶楽部にご加入いただいてから1年後に付与され、以降毎年同月に付与されます。,※4 The additional audience slots gift bonus is granted one year after joining Majisemi Club and every year in the same month thereafter.
(金額は全て税別です),(All amounts are tax-exclusive)
マジセミ倶楽部のお得なプラン（改定予定）,Majisemi Club's value plans (planned revision)
シンプルにウェビナー,Simple webinars
開催だけ依頼したい,Only want to request hosting
講演内容を,Want to utilize presentation content
Webサイトにも活用したい,on the website
ウェビナー開催直後に,Want to follow up immediately
フォローしたい,after the webinar
ウェビナーから確実に,Want to reliably connect
商談につなげたい,webinars to business negotiations
ウェビナーの効果を,Want to maximize
最大化したい,the effectiveness of webinars
