Japanese,English
集客に強いセミナー,集客に強いセミナー
新規の商談獲得に強いセミナー,新規の商談獲得に強いセミナー
IT責任者が選ぶセミナー,IT責任者が選ぶセミナー
日本マーケティングリサーチ機構調べ 調査概要:2021年サービスの比較印象調査,日本マーケティングリサーチ機構調べ 調査概要:2021年サービスの比較印象調査
"ウェビナーを起点とした
“本気”のBtoBマーケティング支援
「マジセミ」のご紹介","ウェビナーを起点とした
“本気”のBtoBマーケティング支援
「マジセミ」のご紹介"
はじめて「マジセミ」をご検討される方へ,はじめて「マジセミ」をご検討される方へ
ウェビナーを活用した東南アジア進出支援,ウェビナーを活用した東南アジア進出支援
日本国内向けとほぼ同じ価格で、東南アジア向けにウェビナー配信が可能。,日本国内向けとほぼ同じ価格で、東南アジア向けにウェビナー配信が可能。
貴社は日本語（又は英語）でのプレゼン動画（＋スライド）を用意するだけ。,貴社は日本語（又は英語）でのプレゼン動画（＋スライド）を用意するだけ。
現地語での字幕の追加、スライドの翻訳、当日の配信まで、全てマジセミ側で対応。,現地語での字幕の追加、スライドの翻訳、当日の配信まで、全てマジセミ側で対応。
オプションで、ウェビナー後のリードフォローや、現地語対応済みのウェビナー動画の２次利用なども可能。,オプションで、ウェビナー後のリードフォローや、現地語対応済みのウェビナー動画の２次利用なども可能。
東南アジアで開催される展示会への共同出展も推進中。,東南アジアで開催される展示会への共同出展も推進中。
その後のフォローに対する,その後のフォローに対する
反応が、約100倍違う,反応が、約100倍違う
  　　　　　　　　　　   ※弊社調べ,  　　　　　　　　　　   ※弊社調べ
お客様とFace to Faceの,お客様とFace to Faceの
"コミュニケーションができ、
信用・信頼がアップ","コミュニケーションができ、
信用・信頼がアップ"
メールで資料案内した場合の,メールで資料案内した場合の
反応率が約100倍！,反応率が約100倍！
なぜ“ウェビナー起点”なのか？,なぜ“ウェビナー起点”なのか？
リスト全体にメールした場合,リスト全体にメールした場合
セミナー参加者にメールした場合,セミナー参加者にメールした場合
ウェビナーの特徴,ウェビナーの特徴
「インタラクティブな体験」を提供できる,「インタラクティブな体験」を提供できる
ライブでの質疑応答,ライブでの質疑応答
質問や要望を受けながらのデモ、工場視察,質問や要望を受けながらのデモ、工場視察
「生のフィードバック」を得られる,「生のフィードバック」を得られる
事前/事後アンケートはもちろん、講演中の投票や質問など,事前/事後アンケートはもちろん、講演中の投票や質問など
「興味関心が高い」視聴者を得られる,「興味関心が高い」視聴者を得られる
少人数ウェビナーの場合、貴社の商品・サービスが解決できる課題について、困っている人が参加する,少人数ウェビナーの場合、貴社の商品・サービスが解決できる課題について、困っている人が参加する
「場を共有する」ことで信頼関係を構築する,「場を共有する」ことで信頼関係を構築する
“先生”として認知,“先生”として認知
質疑応答などのコミュニケーションを通じた信頼関係の構築,質疑応答などのコミュニケーションを通じた信頼関係の構築
何も接点がないところから、いきなりのテレアポやDMは不信感につながります。,何も接点がないところから、いきなりのテレアポやDMは不信感につながります。
まずは「価値がある情報を提供」するウェビナーを開催することで、最初の接点を構築すると共に、,まずは「価値がある情報を提供」するウェビナーを開催することで、最初の接点を構築すると共に、
「信用・信頼」を獲得することができます。,「信用・信頼」を獲得することができます。
マジセミのサービス概要,マジセミのサービス概要
マジセミのハウスリスト,マジセミのハウスリスト
集客力,集客力
ユーザー企業内訳,ユーザー企業内訳
ハウス,ハウス
リスト,リスト
全体,全体
※2020～202４年開催のセミナー申込者から推測,※2020～202４年開催のセミナー申込者から推測
約25万件の,約25万件の
ハウスリストを所有！,ハウスリストを所有！
マネージャー層が中心,マネージャー層が中心
半数近くが,半数近くが
大企業にお勤め,大企業にお勤め
ハウスリスト内訳,ハウスリスト内訳
役 職,役 職
企業,企業
規模,規模
マジセミでは、より貴社の商品・サービスにマッチした方にウェビナーにご参加いただくために、メール等で集客をする際に、属性指定（セグメント）をする方式ではなく、,マジセミでは、より貴社の商品・サービスにマッチした方にウェビナーにご参加いただくために、メール等で集客をする際に、属性指定（セグメント）をする方式ではなく、
ウェビナーのテーマ設定（タイトル、告知文）を、,ウェビナーのテーマ設定（タイトル、告知文）を、
マジセミ側で設計させていただくことで、,マジセミ側で設計させていただくことで、
貴社のターゲットの割合を増やす方式を採用しております。,貴社のターゲットの割合を増やす方式を採用しております。
メール配信も全件に送付するのではなく、設定したテーマに関心が高い方を優先して配信しております。,メール配信も全件に送付するのではなく、設定したテーマに関心が高い方を優先して配信しております。
マジセミのリストは、,マジセミのリストは、
以下の属性にほぼ特化しています。,以下の属性にほぼ特化しています。
職種,職種
全業種 × 情報システム部門、DX関連部門,全業種 × 情報システム部門、DX関連部門
全業種 × セキュリティ部門,全業種 × セキュリティ部門
製造業 × 生産・製造部門,製造業 × 生産・製造部門
全業種 × バックオフィス部門,全業種 × バックオフィス部門
IT企業 × 全職種,IT企業 × 全職種
リード獲得,リード獲得
ナーチャリング・商談,ナーチャリング・商談
契 約,契 約
（SiriusDecision社調査）,（SiriusDecision社調査）
コールドリード,コールドリード
27名,27名
8割が2年以内に,8割が2年以内に
競合他社と契約,競合他社と契約
21名,21名
1名,1名
２１名,２１名
過去参加者も含め繰り返しウェビナーを開催,過去参加者も含め繰り返しウェビナーを開催
することで新規リード獲得とナーチャリングを効率化します。,することで新規リード獲得とナーチャリングを効率化します。
セミナー開催,セミナー開催
30名,30名
繰り返し開催,繰り返し開催
することが重要！,することが重要！
ホットリード,ホットリード
3名,3名
放置すると,放置すると
コールドリードの価値とウェビナーを繰り返す事の重要性,コールドリードの価値とウェビナーを繰り返す事の重要性
なぜ、ウェビナーを開催する必要があるのか？,なぜ、ウェビナーを開催する必要があるのか？
