Japanese,English
集客に強いセミナー,Seminars strong in attracting customers
新規の商談獲得に強いセミナー,Seminars strong in acquiring new business negotiations
IT責任者が選ぶセミナー,Seminars chosen by IT managers
日本マーケティングリサーチ機構調べ 調査概要:2021年サービスの比較印象調査,Survey by Japan Marketing Research Organization Overview: 2021 Service Comparison Impression Survey
"ウェビナーを起点とした
“本気”のBtoBマーケティング支援
「マジセミ」のご紹介","""Serious"" B2B marketing support starting with webinars Introduction to Majisemi"
はじめて「マジセミ」をご検討される方へ,For those considering Majisemi for the first time
ウェビナーを活用した東南アジア進出支援,Support for expansion into Southeast Asia using webinars
日本国内向けとほぼ同じ価格で、東南アジア向けにウェビナー配信が可能。,Webinars can be delivered to Southeast Asia at almost the same price as for Japan.
貴社は日本語（又は英語）でのプレゼン動画（＋スライド）を用意するだけ。,Your company only needs to prepare a presentation video (and slides) in Japanese (or English).
現地語での字幕の追加、スライドの翻訳、当日の配信まで、全てマジセミ側で対応。,"Majisemi handles everything from adding subtitles in local languages, translating slides, to the day of delivery."
オプションで、ウェビナー後のリードフォローや、現地語対応済みのウェビナー動画の２次利用なども可能。,Options include post-webinar lead follow-up and secondary use of webinar videos with local language support.
東南アジアで開催される展示会への共同出展も推進中。,Promoting joint exhibitions at trade shows held in Southeast Asia.
その後のフォローに対する,Response to subsequent follow-up
反応が、約100倍違う,Differs by about 100 times
  　　　　　　　　　　   ※弊社調べ,  　　　　　　　　　　   ※According to our research
お客様とFace to Faceの,"Face-to-face communication with customers,"
"コミュニケーションができ、
信用・信頼がアップ",increasing trust and credibility
メールで資料案内した場合の,Response rate when materials are sent by email
反応率が約100倍！,is about 100 times!
なぜ“ウェビナー起点”なのか？,Why start with a webinar?
リスト全体にメールした場合,When emailing the entire list
セミナー参加者にメールした場合,When emailing seminar participants
ウェビナーの特徴,Features of webinars
「インタラクティブな体験」を提供できる,"Can provide an ""interactive experience"""
ライブでの質疑応答,Live Q&A
質問や要望を受けながらのデモ、工場視察,Demos and factory tours while receiving questions and requests
「生のフィードバック」を得られる,"Can obtain ""live feedback"""
事前/事後アンケートはもちろん、講演中の投票や質問など,"Pre/post surveys, as well as polls and questions during the presentation"
「興味関心が高い」視聴者を得られる,"Can attract viewers with ""high interest"""
少人数ウェビナーの場合、貴社の商品・サービスが解決できる課題について、困っている人が参加する,"In small webinars, people troubled by issues your products/services can solve will participate"
「場を共有する」ことで信頼関係を構築する,"Build trust by ""sharing the space"""
“先生”として認知,"Recognized as a ""teacher"""
質疑応答などのコミュニケーションを通じた信頼関係の構築,Building trust through communication such as Q&A
何も接点がないところから、いきなりのテレアポやDMは不信感につながります。,Cold calls or direct mail from no prior contact can lead to distrust.
まずは「価値がある情報を提供」するウェビナーを開催することで、最初の接点を構築すると共に、,"First, by holding webinars that ""provide valuable information,"" you can establish the initial contact and"
「信用・信頼」を獲得することができます。,"gain ""trust and credibility."""
マジセミのサービス概要,Overview of Majisemi's services
マジセミのハウスリスト,Majisemi's house list
集客力,Attracting customers
ユーザー企業内訳,Breakdown of user companies
ハウス,House
リスト,List
全体,Overall
※2020～202４年開催のセミナー申込者から推測,*Estimated from seminar applicants from 2020 to 2024
約25万件の,"Approximately 250,000"
ハウスリストを所有！,House List Owned!
マネージャー層が中心,Primarily managers
半数近くが,Nearly half work at
大企業にお勤め,large corporations
ハウスリスト内訳,House List Breakdown
役 職,Position
企業,Company
規模,Size
マジセミでは、より貴社の商品・サービスにマッチした方にウェビナーにご参加いただくために、メール等で集客をする際に、属性指定（セグメント）をする方式ではなく、,"At Majisemi, to ensure that participants in your webinars are better matched to your products and services, we do not use attribute specification (segmentation) when attracting participants via email, etc."
ウェビナーのテーマ設定（タイトル、告知文）を、,"Instead, we design the webinar theme (title, announcement text)"
マジセミ側で設計させていただくことで、,"on the Majisemi side,"
貴社のターゲットの割合を増やす方式を採用しております。,adopting a method to increase the proportion of your target audience.
メール配信も全件に送付するのではなく、設定したテーマに関心が高い方を優先して配信しております。,"Emails are not sent to all contacts, but prioritized for those highly interested in the set theme."
マジセミのリストは、,The Majisemi list is
以下の属性にほぼ特化しています。,almost exclusively focused on the following attributes.
職種,Job Type
全業種 × 情報システム部門、DX関連部門,"All industries × Information Systems Department, DX-related Department"
全業種 × セキュリティ部門,All industries × Security Department
製造業 × 生産・製造部門,Manufacturing × Production/Manufacturing Department
全業種 × バックオフィス部門,All industries × Back Office Department
IT企業 × 全職種,IT Companies × All Job Types
リード獲得,Lead Acquisition
ナーチャリング・商談,Nurturing & Business Negotiations
契 約,Contract
（SiriusDecision社調査）,(SiriusDecision survey)
コールドリード,Cold Lead
27名,27 people
8割が2年以内に,80% contract with
競合他社と契約,competitors within 2 years
21名,21 people
1名,1 person
２１名,21 people
過去参加者も含め繰り返しウェビナーを開催,"Including past participants, repeatedly holding webinars"
することで新規リード獲得とナーチャリングを効率化します。,to efficiently acquire new leads and nurture them.
セミナー開催,Seminar Held
30名,30 people
繰り返し開催,Repeatedly held
することが重要！,is important!
ホットリード,Hot leads
3名,3 people
放置すると,If left unattended
コールドリードの価値とウェビナーを繰り返す事の重要性,The value of cold leads and the importance of repeating webinars
なぜ、ウェビナーを開催する必要があるのか？,Why is it necessary to hold webinars?
マジセミが過去参加者に対して長期フォローを実施し、,"Majisemi conducts long-term follow-up with past participants,"
アポ獲得を代行する「マジフォロプラス」も提供しています。,and also offers 'MajiFollow Plus' to assist in appointment acquisition.
当日の講演に,Focus on the presentation
集中できる！,on the day!
ワンストップサービスで,One-stop service
最初から最後まで,from start to finish
マジセミが代行、だから,"Majisemi handles it all, so"
マジセミをご利用いただくべき理由,Reasons to use Majisemi
貴社のウェビナー運営を代行,Outsource your webinar operations
SEO記事作成,SEO article creation
動画作成,Video production
（オプション）,(Optional)
司会進行,Moderation
アンケート集計,Survey aggregation
レポート作成,Report creation
アポ獲得,Appointment acquisition
(オプション）,(Optional)
集客,Attracting attendees
セミナー,Seminar
事務局,Secretariat
