Japanese,English
ヒアリング,Hearing
■セミナーで紹介したい対象商品について,■セミナーで紹介したい対象商品について
　・どの商品・サービスか？,　・どの商品・サービスか？
　・想定ターゲット（セミナーに呼びたいひと）は？,　・想定ターゲット（セミナーに呼びたいひと）は？
　　・業種、企業規模、部署、役職など,"・Industry, company size, department, position, etc."
　　　※マジセミの得意分野は「全業種の情シス、DX部門、セキュリティ部門と、工場の生産・製造部門」,"※ Majisemi's areas of expertise are ""IT departments, DX departments, security departments across all industries, and production/manufacturing departments in factories"""
　・競合製品は？,　・競合製品は？
　・競合製品に対する強み、差別化ポイントは？,　・競合製品に対する強み、差別化ポイントは？
■セミナー（ウェビナー）の必要性について,■セミナー（ウェビナー）の必要性について
　・リード獲得の手段として重要視するものは？,　・リード獲得の手段として重要視するものは？
　　・セミナー（ウェビナー）,　　・セミナー（ウェビナー）
　　・Webサイト（コンテンツマーケティング）,　　・Webサイト（コンテンツマーケティング）
　　・リアル展示会,　　・リアル展示会
　　・比較サイト,　　・比較サイト
　　・GoogleやFacebookなどへの広告,　　・GoogleやFacebookなどへの広告
　　・テレアポ,　　・テレアポ
　　・その他,　　・その他
■予算の状況,■予算の状況
　・リード獲得単価、アポ獲得単価,　・リード獲得単価、アポ獲得単価
　・セミナー（ウェビナー）の予算の有無、及び金額,　・セミナー（ウェビナー）の予算の有無、及び金額
　・上記リード獲得手段の予算の割合,　・上記リード獲得手段の予算の割合
　・予算の策定、決定時期,　・予算の策定、決定時期
■セミナー（ウェビナー）の目的／課題,■セミナー（ウェビナー）の目的／課題
　・より多くのリードを獲得したい／集客できない,　・より多くのリードを獲得したい／集客できない
　・ターゲットに合ったリードを獲得したい／リードの質が悪い,　・ターゲットに合ったリードを獲得したい／リードの質が悪い
　・ウェビナーから商談につなげたい／商談につながらない,　・ウェビナーから商談につなげたい／商談につながらない
　・ウェビナーの運営を代行してほしい／運営が大変,　・ウェビナーの運営を代行してほしい／運営が大変
　・まずはスモールスタートでウェビナーをやってみたい,　・まずはスモールスタートでウェビナーをやってみたい
　・その他,　・その他
　・ウェビナーを活用した、東南アジアにおける新規顧客開拓やテストマーケティング,　・ウェビナーを活用した、東南アジアにおける新規顧客開拓やテストマーケティング
なぜ「ウェビナー」なのか？,なぜ「ウェビナー」なのか？
BtoBマーケティングにおけるウェビナーの役割,BtoBマーケティングにおけるウェビナーの役割
製品・サービスを絞って,製品・サービスを絞って
評価・選定、稟議,評価・選定、稟議
製品・サービスの,製品・サービスの
候補を捜す,候補を捜す
課題に気づき,課題に気づき
社内で検討,社内で検討
課題に,課題に
気づいてない,気づいてない
課題に気づかせる,課題に気づかせる
課題について深く理解させ、,課題について深く理解させ、
解決方法を提示する,解決方法を提示する
競合よりもお客様に早く接触し、課題解決をサポートする,Reach out to customers faster than competitors and support problem-solving
数社～十数者程度の検討の候補に入り、２～３社の最終候補に残る,"Be included in the consideration set of several to a dozen companies, and remain as one of the final 2-3 candidates"
２～３社の最終候補から自社を選んでもらう,Be chosen from the final 2-3 candidates
リアル展示会,In-person trade show
オンラインイベント,Online event
課題に気づかせる。,Make them aware of the issue.
課題について深く理解させる。,Help them deeply understand the issue.
競合よりもお客様に先に接触し、自社を知ってもらう。,Reach out to customers before competitors and make them aware of our company.
ウェビナー,Webinar
Webサイト,Website
コンテンツマーケティング,Content Marketing
SNS広告,Social Media Advertising
資料ダウンロード,Downloadable Materials
課題を深く理解させる。,Deepen understanding of challenges.
また競合比較情報や、自社製品の情報を提供する。,Also provide competitive comparison information and information about our products.
既存リードのナーチャリング（育成）目的。,For nurturing existing leads.
フィールドセールス,Field Sales
ウェビナーコンテンツの活用,Utilization of Webinar Content
ウェビナーを開催すると、,"When hosting a webinar,"
多くのコンテンツが生成される,a lot of content is generated.
●講演資料　→ホワイトペーパー,● Presentation materials → White Paper
●講演動画　→Youtube、SNS,"● Presentation video → YouTube, Social Media"
●講演内容　→SEO記事、ブログ,"● Presentation content → SEO articles, blogs"
提案・受注,Proposal and order
リード育成,Lead Nurturing
リード獲得,Lead acquisition
リード獲得におけるウェビナーの位置付け,Positioning of Webinars in Lead Acquisition
リード獲得単価,Cost per Lead
興味関心,Interest
低い,Low
高い,High
"30,000円","30,000 yen"
"10,000円","10,000 yen"
"5,000円","5,000 yen"
オンライン,Online
　展示会, Exhibition
(大規模ウェビナー),(Large-scale Webinar)
比較サイト,Comparison Sites
メール広告,Email Advertising
リスティング／SNS広告,Listing/Social Media Advertising
マジセミ,Majisemi
倶楽部,Club
"10,000円～","10,000 yen and up"
ビジター,Visitor
"14,500円","14,500 JPY"
共同出展,Joint exhibition
オンデマンド,On-demand
動画配信,Video distribution
テレアポ,Telemarketing
