Japanese,English
集客に強いセミナー,Seminars strong in attracting participants
新規の商談獲得に強いセミナー,Seminars strong in acquiring new business negotiations
IT責任者が選ぶセミナー,Seminars chosen by IT leaders
日本マーケティングリサーチ機構調べ 調査概要:2021年サービスの比較印象調査,Japan Marketing Research Organization Survey Overview: 2021 Service Comparison Survey
"ウェビナーを起点とした
“本気”のBtoBマーケティング支援
「マジセミ」のご紹介","Introduction to serious B2B marketing support starting with webinars, ""Majisemi"""
はじめて「マジセミ」をご検討される方へ,"For those considering ""Majisemi"" for the first time"
本日の打ち合わせの目的,Purpose of today's meeting
はじめて「マジセミ」をご検討される企業のために、以下のような内容についてお話させていただきます。,"We will discuss the following topics for companies considering ""Majisemi"" for the first time."
マーケティングにおける課題のヒアリング,Hearing about challenges in marketing
どのようにマジセミをご活用いただくのか？,How will you utilize Majisemi?
ヒアリング,Hearing
■セミナーで紹介したい対象商品について,■ About the target products you want to introduce in the seminar
　・どの商品・サービスか？,　・What products or services?
　・想定ターゲット（セミナーに呼びたいひと）は？,　・Who is the intended target (the people you want to invite to the seminar)?
　　・業種、企業規模、部署、役職など,"　　・Industry, company size, department, position, etc."
　　　※マジセミの得意分野は「全業種の情シス、DX部門、セキュリティ部門と、工場の生産・製造部門」,"　　　※Majisemi's areas of expertise are ""IT departments, DX departments, security departments across all industries, and production and manufacturing departments in factories"""
　・競合製品は？,　・What are the competing products?
　・競合製品に対する強み、差別化ポイントは？,　・What are the strengths and differentiation points against competing products?
■セミナー（ウェビナー）の必要性について,■ Necessity of seminars (webinars)
　・リード獲得の手段として重要視するものは？,　・What do you consider important as a means of lead acquisition?
　　・セミナー（ウェビナー）,　　・Seminars (webinars)
　　・Webサイト（コンテンツマーケティング）,　　・Websites (content marketing)
　　・リアル展示会,　　・Physical exhibitions
　　・比較サイト,　　・Comparison sites
　　・GoogleやFacebookなどへの広告,"　　・Advertisements on Google, Facebook, etc."
　　・テレアポ,　　・Telemarketing
　　・その他,　　・Others
■予算の状況,■ Budget situation
　・リード獲得単価、アポ獲得単価,"　・Cost per lead, cost per appointment"
　・セミナー（ウェビナー）の予算の有無、及び金額,　・Whether there is a budget for seminars (webinars) and the amount
　・上記リード獲得手段の予算の割合,　・Proportion of the budget for the above lead acquisition methods
　・予算の策定、決定時期,　・Timing for budget formulation and decision
■セミナー（ウェビナー）の目的／課題,■ Purpose/challenges of seminars (webinars)
　・より多くのリードを獲得したい／集客できない,　・Want to acquire more leads / unable to attract participants
　・ターゲットに合ったリードを獲得したい／リードの質が悪い,　・Want to acquire leads that match the target / poor lead quality
　・ウェビナーから商談につなげたい／商談につながらない,　・Want to connect webinars to business negotiations / not connecting to negotiations
　・ウェビナーの運営を代行してほしい／運営が大変,　・Want assistance with webinar management / management is difficult
　・まずはスモールスタートでウェビナーをやってみたい,　・Want to try a small start with webinars first
　・その他,　・Others
　・ウェビナーを活用した、東南アジアにおける新規顧客開拓やテストマーケティング,　・New customer development and test marketing in Southeast Asia using webinars
