Japanese,English
（事例１）「テーマを変更し、120名以上の集客を実現」＜C社＞,"(Case 1) ""Changed the theme and achieved over 120 attendees"" <Company C>"
■お客様の課題,■ Customer's challenges
　・サーバ／インフラ系サービスを中心に販売されている、SIer様,- SIers primarily selling server/infrastructure services
　・自社でウェビナーを開催しているが集客できない,- Hosting webinars in-house but unable to attract attendees
　・メディアに集客を依頼しても、集客できなかった,- Unable to attract attendees even when outsourcing to media
■ご利用いただいたプラン,■ Plan utilized
　・ビジター（その後、マジセミ倶楽部へ移行）,- Visitor (later transitioned to Majisemi Club)
■マジセミでの対応,■ Response by Majisemi
"　・年間1000回のウェビナー開催の中での集客傾向ノウハウや、
　「トレンド分析ツール」な　を活用し、
　「集客できる企画」をマジセミ側で立案、ご提案","- Utilizing know-how from hosting 1,000 webinars annually and 'trend analysis tools' to propose 'attractive plans' from Majisemi"
■結果,■ Results
　・120名以上の集客実現,- Achieved attendance of over 120 people
（事例2）「テーマを模索しながら50%以上のアポを獲得」＜T社＞,"(Case 2) ""While exploring themes, achieved over 50% appointment acquisition"" <Company T>"
　・ツールベンダー様,- Tool vendors
　・展示会等中心のマーケティングを実施していたが、商談化に苦戦,- Struggled to convert leads into sales despite focusing on trade shows
"　・繰り返しウェビナーを開催しながら、「ある程度集客もでき、かつ、商談につながる
　　テーマ」を模索。",- Repeatedly hosting webinars while exploring 'themes that attract attendees and lead to sales'
　・毎回30名程度の集客をしつつ、商談化率を10%→20%→50%と改善,- Improved conversion rate from 10% to 20% to 50% while attracting around 30 attendees each time
　・登壇者が自ら、ウェビナー後のフォローを実施,- Presenters personally follow up after webinars
（事例3）「オンラインに変更し、20%のアポを獲得」＜Z社＞,"(Case Study 3) ""Switched to online and acquired 20% appointments"" <Company Z>"
　・パッケージ製品・SaaSを開発・販売されているグローバルIT企業,- Global IT company developing and selling packaged products and SaaS
　・オフラインセミナーを開催しているが、集客、出席率で苦戦,- Hosting offline seminars but struggling with attendance and participation rates
　・商談にもつながらない,- Not leading to sales
　・ビジター,- Visitor
　・オンライン（ウェビナー）のご提案,- Proposal for online (webinar)
　・「商談につながるセミナー企画」を実施,- Implemented 'seminar plans that lead to sales'
　・30人申込み→6件アポを実現,- 30 registrations leading to 6 appointments
